station_id,station_name,lat,lon,co,no,no2_ground,nox,o3,pm10,pm2_5,relativehumidity,so2_ground,temperature,wind_direction,wind_speed,aqi,fire_count,temp,humidity,wind_u,wind_v,hcho,aod,no2,so2,date,pm_proxy_index,fire_wind_interaction,urban_density_proxy
13,"Delhi Technological University, Delhi - CPCB",28.744,77.12,0.054204661726911726,,40.3,,0.13447931947424813,440.12891364040206,408.5137396130345,,,,,,458.17191152455905,19,30,50,0,0,0.00031096659076865766,0.44045197101864325,0.00010440902264977905,0.00017587806144436912,2026-06-22,0.013696584782500309,0.0,0.4598715981822535
17,"R K Puram, Delhi - DPCC",28.563262,77.186937,0.028737871181724425,3.7,43.0,0.0075,0.12890629020003314,496.8707224818956,298.53238009889515,38.0,28.65,35.8,198.0,1.9,348.0804605594546,20,30,50,0,0,0.00039431893383152784,2.108644641317818,0.0004030289902054219,0.00024705954554324604,2026-06-22,0.08314785067940064,0.0,8.498449204923942
19,MNB,47.929732,106.888629,0.06774466628703207,,22.0,,0.17997165196094173,124.0,167.0,,25.0,,,,216.35135135135135,0,30,50,0,0,-9.913942449202295e-06,0.8926922964475366,0.00011688668966007803,0.0003906079359589423,2026-06-22,-0.0008850100051827112,0.0,1.043438474168056
21,Beijing US Embassy,39.95,116.47,0.027898737465931505,,,,0.19509672963199548,,25.0,,,,,,77.12875536480686,0,30,50,0,0,0.00021713736350648105,1.0232880392678165,0.000237528442579224,0.00019892135125945969,2026-06-22,0.022219406695433014,0.0,2.430600142772323
23,Amgalan,47.913429,106.99790699999998,0.03155340205164776,,33.0,,0.18842307098155997,155.0,181.0,,13.0,,,,230.22522522522522,0,30,50,0,0,-6.171078712213784e-05,1.4651400533757535,0.0002460429034592586,0.0001245134582487902,2026-06-22,-0.00904149459379888,0.0,3.604873127070235
25,Parque O'Higgins,-33.464142,-70.660797,0.07501837124456098,,95.13,,0.16953663280509723,58.0,35.0,,0.0,,,,98.1587982832618,0,30,50,0,0,0.00012901828449685127,0.8246019635433908,0.0002889424810010443,0.0002735695457006271,2026-06-22,0.010638873072910336,0.0,2.3826253718456005
26,Inpesca,-36.737202,-73.104427,0.02036492568985603,,,,0.15886830063929175,67.0,62.0,,10.98,,,,153.35616438356163,0,30,50,0,0,0.0001153281336883083,0.216112528505838,5.014343796764055e-05,0.00020672045852421976,2026-06-22,0.0024923854579239624,0.0,0.10836625167162439
27,Concón,-32.924568,-71.515399,0.07259235020108197,,29.52,,0.13332762742167173,22.0,26.0,,29.09,,,,79.23175965665236,0,30,50,0,0,0.0001726866903482005,0.6590804693593315,0.00028511802859901644,0.0002613468232941444,2026-06-22,0.011381442492680152,0.0,1.8791572411184707
28,Ursynów,52.16077306,21.03916667,0.06793141957690918,,41.0,,0.14849939892084874,165.1,148.8,,15.5,,,,198.17386722866175,0,30,50,0,0,0.00022362371964845806,1.18461186160335,0.00010892146365638303,0.0003785708784167134,2026-06-22,0.02649073108314256,0.0,1.2902965783054954
30,100 ail,47.9329056,106.9213833,0.06304341837229901,,3.0,,0.18929461631761071,93.0,,,7.0,,,,50.0,0,30,50,0,0,-6.171078712213784e-05,1.3256645793934407,0.000259270549046235,0.0001597484303975681,2026-06-22,-0.008180780465430703,0.0,3.4370578335048356
31,Wekerom-Riemterdijk,52.1116,5.70842,0.06979840911913743,1.67,3.61,,0.16650051894350737,8.27,5.07106,,,,,,21.129416666666668,0,30,50,0,0,0.00025823962641879916,0.42523504384502797,0.000245149529643218,0.00017254862056945993,2026-06-22,0.01098125388627217,0.0,1.042461709864218
33,Zaanstad-Hemkade,52.42023000014056,4.832060000156797,0.033373013347228836,-999.0,10.1,,0.16717371701220426,28.0,,,,,,,50.0,0,30,50,0,0,0.00014162443403620273,0.5979463790587374,0.00012486477212182126,0.00016910756561119096,2026-06-22,0.008468381751819042,0.0,0.746624383622374
38,Cauquenes,-34.241168,-70.55283,0.0618086003301368,,,,0.13507644326286852,,,,22.25,,,,50.0,0,30,50,0,0,7.79109905124642e-05,1.452827458890736,0.0002735911278353704,0.00017529160757003053,2026-06-22,0.01131912263658836,0.0,3.9748070302811165
39,Gobernación,-22.093082,-70.20121,0.053668897035218405,,,,0.10536216754295998,41.0,,,17.12,,,,50.0,0,30,50,0,0,7.555205229436979e-06,0.19953077355345747,0.00016396759684589112,0.0002726714565845624,2026-06-22,0.00015074959437846874,0.0,0.3271658143636211
41,Groningen-Europaweg,53.2178,6.5789,0.023678704633983517,6.54,9.91,,0.1779675495494059,10.83,2.89448,,,,,,12.060333333333334,0,30,50,0,0,9.317749936599284e-05,1.4289793064864307,0.00014233437653604806,0.00034715473294156586,2026-06-22,0.01331487184241563,0.0,2.0339287867166047
43,Konarskiego,52.17203333,22.27277778,0.05888958791193914,,20.7,,0.18128342308327688,214.8,214.1,,5.1,,,,263.02702702702703,0,30,50,0,0,0.0002828096301527694,3.68384489420055,0.00046234602795644216,0.0002893955688395469,2026-06-22,0.10418268120690255,0.0,17.032110544412443
44,Heerlen-Jamboreepad,50.9003,5.98685,0.022029923330515122,0.8,8.66,,0.16505682965258384,27.47,6.73314,,,,,,28.054750000000002,0,30,50,0,0,0.00025130706490017474,1.4022878592286059,0.00015079293542356905,0.0002859925989754276,2026-06-22,0.035240484604789034,0.0,2.1145510260191407
