station_id,station_name,lat,lon,parameter,last_value,last_updated
39,Gobernación,-22.093082,-70.20121,pm10,41.0,2026-06-22T10:00:00Z
41,Groningen-Europaweg,53.2178,6.5789,pm25,2.89448,2026-06-22T10:00:00Z
41,Groningen-Europaweg,53.2178,6.5789,no2,9.91,2026-06-22T10:00:00Z
41,Groningen-Europaweg,53.2178,6.5789,pm10,10.83,2026-06-22T10:00:00Z
41,Groningen-Europaweg,53.2178,6.5789,no,6.54,2026-06-22T10:00:00Z
43,Konarskiego,52.17203333,22.27277778,o3,43.9,2017-01-03T09:00:00Z
43,Konarskiego,52.17203333,22.27277778,co,263.0,2017-01-03T09:00:00Z
43,Konarskiego,52.17203333,22.27277778,no2,20.7,2017-01-03T09:00:00Z
43,Konarskiego,52.17203333,22.27277778,pm10,214.8,2017-01-08T07:00:00Z
43,Konarskiego,52.17203333,22.27277778,so2,5.1,2017-01-03T09:00:00Z
43,Konarskiego,52.17203333,22.27277778,pm25,214.1,2017-01-08T07:00:00Z
44,Heerlen-Jamboreepad,50.9003,5.98685,no2,8.66,2026-06-22T10:00:00Z
44,Heerlen-Jamboreepad,50.9003,5.98685,o3,98.53,2026-06-22T10:00:00Z
44,Heerlen-Jamboreepad,50.9003,5.98685,pm25,6.73314,2026-06-22T10:00:00Z
44,Heerlen-Jamboreepad,50.9003,5.98685,pm10,27.47,2026-06-22T10:00:00Z
44,Heerlen-Jamboreepad,50.9003,5.98685,no,0.8,2026-06-22T10:00:00Z
45,Puente Alto,-33.591390623022,-70.594788,no2,79.34,2021-08-20T21:00:00Z
45,Puente Alto,-33.591390623022,-70.594788,co,709.78,2021-08-20T21:00:00Z
45,Puente Alto,-33.591390623022,-70.594788,o3,2.7,2021-08-20T21:00:00Z
45,Puente Alto,-33.591390623022,-70.594788,pm10,45.0,2026-06-22T09:00:00Z
45,Puente Alto,-33.591390623022,-70.594788,so2,6.9,2022-04-21T18:00:00Z
45,Puente Alto,-33.591390623022,-70.594788,pm25,25.0,2026-06-22T09:00:00Z
46,Bukhiin urguu,47.9176056,106.93736109999999,pm10,121.0,2019-03-13T22:00:00Z
46,Bukhiin urguu,47.9176056,106.93736109999999,co,21.0,2019-03-13T22:00:00Z
46,Bukhiin urguu,47.9176056,106.93736109999999,so2,9.0,2019-03-13T22:00:00Z
46,Bukhiin urguu,47.9176056,106.93736109999999,pm25,48.0,2019-03-13T22:00:00Z
46,Bukhiin urguu,47.9176056,106.93736109999999,no2,39.0,2019-03-13T22:00:00Z
46,Bukhiin urguu,47.9176056,106.93736109999999,o3,8.0,2019-03-13T22:00:00Z
47,Valparaiso,-33.049743798096,-71.614167231712,o3,0.0,2017-06-28T15:00:00Z
47,Valparaiso,-33.049743798096,-71.614167231712,so2,0.0,2017-06-28T15:00:00Z
47,Valparaiso,-33.049743798096,-71.614167231712,pm10,0.0,2017-06-28T16:00:00Z
47,Valparaiso,-33.049743798096,-71.614167231712,no2,0.0,2017-06-28T15:00:00Z
47,Valparaiso,-33.049743798096,-71.614167231712,co,0.0,2017-06-28T15:00:00Z
47,Valparaiso,-33.049743798096,-71.614167231712,pm25,14.0,2026-06-22T10:00:00Z
48,Baruun 4 zam,47.9153833,106.89419440000002,co,39.0,2019-03-13T22:00:00Z
48,Baruun 4 zam,47.9153833,106.89419440000002,pm25,162.0,2019-03-13T22:00:00Z
48,Baruun 4 zam,47.9153833,106.89419440000002,so2,15.0,2019-03-13T22:00:00Z
48,Baruun 4 zam,47.9153833,106.89419440000002,no2,52.0,2019-03-06T17:00:00Z
48,Baruun 4 zam,47.9153833,106.89419440000002,pm10,126.0,2019-03-13T22:00:00Z
50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,no,1.8,2026-06-22T10:15:00Z
50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,so2,18.0,2026-06-22T10:15:00Z
50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,pm25,6.0,2026-06-22T10:15:00Z
50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,o3,43.0,2026-06-22T10:15:00Z
