name,state,lat,lon,population
Mangvadi,Maharashtra,18.43135,73.86002,7685
Harduli,Madhya Pradesh,22.92783,79.90299,7682
Jhagrakhand,Chhattisgarh,23.1942,82.19756,7680
Akalgarh,Punjab,30.75951,75.64565,7678
Kulappuram,Tamil Nadu,8.32195,77.14892,7677
Vaithisvarankoil,Tamil Nadu,11.19583,79.70736,7676
Nattalam,Tamil Nadu,8.27961,77.23455,7674
Tarichar Kalan,Madhya Pradesh,25.41182,78.88997,7674
Bajna,Uttar Pradesh,27.89793,77.67836,7673
Mundathikod,Kerala,10.64457,76.19528,7672
Bhugor,Rajasthan,27.51689,76.60998,7666
Jamwa Ramgarh,Rajasthan,27.02021,76.01089,7665
Virudampattu,Tamil Nadu,12.95945,79.14436,7662
Barpathar,Assam,26.28709,93.88844,7657
Kodannur,Kerala,10.46647,76.1842,7655
Doha,Haryana,27.67826,76.93611,7642
Outabgarh,Delhi,28.80103,76.96163,7639
Belthangady,Karnataka,12.98799,75.28241,7635
Shiravagilu,Kerala,12.54921,74.98759,7630
Bamun Sualkuchi,Assam,26.16826,91.58172,7628
Waghoda,Maharashtra,21.37315,78.93489,7628
Mathurapur,Bihar,25.87099,85.78816,7627
Rekurti,Telangana,18.46886,79.11188,7626
Belluru,Karnataka,12.9814,76.73308,7626
Aligarh,Rajasthan,25.96517,76.08302,7626
Pavali,Tamil Nadu,9.60226,77.92128,7622
Vellavadanparappu,Tamil Nadu,11.18537,77.84245,7621
Manpur,Madhya Pradesh,22.43151,75.62107,7621
Daulatpur,West Bengal,25.32605,88.32989,7620
Ateli Mandi,Haryana,28.1008,76.2598,7619
Terur,Tamil Nadu,8.17331,77.46505,7615
Sorbhog,Assam,26.48612,90.8859,7614
Longleng,Nagaland,26.48989,94.81772,7613
Navalur,Tamil Nadu,12.84482,80.22646,7610
Gogapur,Madhya Pradesh,23.55746,75.51665,7608
Manda,Maharashtra,19.56843,72.79722,7605
Jangalpur,Jharkhand,23.82737,86.57928,7603
Nakkapalle,Andhra Pradesh,17.40792,82.71663,7603
Dalhousie,Himachal Pradesh,32.55219,75.94663,7601
Periyakkurichchi,Tamil Nadu,11.54004,79.48943,7599
Nadigaon,Uttar Pradesh,26.10784,79.02283,7597
Garhdiwala,Punjab,31.74147,75.75567,7593
Rail,Punjab,30.99899,76.46759,7589
Rakh Gadi Garh,Jammu and Kashmir,32.66923,74.83887,7588
Ahmadabad Cantonment,Gujarat,23.04768,72.60987,7588
Sembianallur,Tamil Nadu,11.17731,77.24131,7586
Kherwara,Rajasthan,23.98588,73.59493,7581
Kattrivedu,Tamil Nadu,13.13778,80.20444,7580
Murmari,Maharashtra,21.07292,79.82804,7576
Malaudh,Punjab,30.63332,75.93565,7567
Padri,Bihar,26.16448,85.91243,7566
Mutge,Karnataka,15.86561,74.59183,7561
Paiyur,Tamil Nadu,12.6707,79.30241,7555
Kumaranellur,Kerala,10.66964,76.24752,7553
Bhakhara,Chhattisgarh,20.89953,81.60284,7547
Gogipeth,Karnataka,16.73521,76.74434,7544
Kochpara,Assam,26.08902,91.5318,7540
Chantongia,Nagaland,26.54588,94.6856,7532
Koonimedu,Tamil Nadu,12.08519,79.88925,7528
Maan,Maharashtra,18.58122,73.70412,7527
Kotar,Madhya Pradesh,24.69802,80.98073,7520
Murda,Goa,15.48022,73.85441,7517
Sunari Kalan,Haryana,28.86103,76.56898,7506
Nachiyar Koil,Tamil Nadu,10.91953,79.44592,7505
Gamharia,Jharkhand,22.80943,86.10337,7505
Nimbhora Budrukh,Maharashtra,21.04863,75.8419,7501
Bishunpur Urf Maharajganj,Uttar Pradesh,26.25914,83.11643,7499
Valantaravai,Tamil Nadu,9.33905,78.88712,7498
Borgaon,Madhya Pradesh,21.56113,78.81314,7497
Tarapur,Maharashtra,19.86499,72.68426,7493
Malanpur,Madhya Pradesh,26.35718,78.28697,7492
Ghorawal,Uttar Pradesh,24.75459,82.77965,7492
Dera Nanak,Punjab,32.03733,75.02787,7491
Kegaon,Maharashtra,18.89568,72.91313,7485
P. J. Cholapuram,Tamil Nadu,10.90568,78.27924,7484
Kuruppanayakkanpalaiyam,Tamil Nadu,11.46446,77.69412,7484
Sargaon,Chhattisgarh,21.90086,81.97724,7484
Jajang,Odisha,21.93835,85.44248,7482
Chikhli,Gujarat,20.75751,73.06268,7480
Kangpokpi,Manipur,25.15273,93.97167,7476
Kadipur,Uttar Pradesh,26.16779,82.37028,7472
